"Notes","MCD - ICD Chapter","MCD - ICD Chapter Code","Sex","Sex Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Diseases of the circulatory system","I00-I99","Female","F","Jul., 2021","2021/07",138,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Female","F","Aug., 2021","2021/08",232,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Female","F","Sep., 2021","2021/09",245,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Female","F","Oct., 2021","2021/10",185,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Female","F","Nov., 2021","2021/11",138,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Female","F","Dec., 2021","2021/12",146,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Male","M","Jan., 2021","2021/01",331,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Male","M","Feb., 2021","2021/02",265,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Male","M","Mar., 2021","2021/03",278,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Male","M","Apr., 2021","2021/04",260,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Male","M","May, 2021","2021/05",254,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Male","M","Jun., 2021","2021/06",246,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Male","M","Jul., 2021","2021/07",262,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Male","M","Aug., 2021","2021/08",390,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Male","M","Sep., 2021","2021/09",480,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Male","M","Oct., 2021","2021/10",323,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Male","M","Nov., 2021","2021/11",277,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Male","M","Dec., 2021","2021/12",293,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Female","F","Jan., 2021","2021/01",151,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Female","F","Feb., 2021","2021/02",121,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Female","F","Mar., 2021","2021/03",127,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Female","F","Apr., 2021","2021/04",72,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Female","F","May, 2021","2021/05",88,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Female","F","Jun., 2021","2021/06",88,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Female","F","Jul., 2021","2021/07",93,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Female","F","Aug., 2021","2021/08",293,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Female","F","Sep., 2021","2021/09",349,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Female","F","Oct., 2021","2021/10",210,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Female","F","Nov., 2021","2021/11",120,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Female","F","Dec., 2021","2021/12",102,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Male","M","Jan., 2021","2021/01",250,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Male","M","Feb., 2021","2021/02",173,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Male","M","Mar., 2021","2021/03",147,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Male","M","Apr., 2021","2021/04",133,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Male","M","May, 2021","2021/05",137,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Male","M","Jun., 2021","2021/06",128,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Male","M","Jul., 2021","2021/07",171,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Male","M","Aug., 2021","2021/08",483,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Male","M","Sep., 2021","2021/09",652,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Male","M","Oct., 2021","2021/10",330,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Male","M","Nov., 2021","2021/11",175,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the respiratory system","J00-J98","Male","M","Dec., 2021","2021/12",202,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Female","F","Jan., 2021","2021/01",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Female","F","Feb., 2021","2021/02",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Female","F","Mar., 2021","2021/03",50,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Female","F","Apr., 2021","2021/04",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Female","F","May, 2021","2021/05",57,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Female","F","Jun., 2021","2021/06",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Female","F","Jul., 2021","2021/07",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Female","F","Aug., 2021","2021/08",53,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Female","F","Sep., 2021","2021/09",57,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Female","F","Oct., 2021","2021/10",50,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Female","F","Nov., 2021","2021/11",56,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Female","F","Dec., 2021","2021/12",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Male","M","Jan., 2021","2021/01",108,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Male","M","Feb., 2021","2021/02",83,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Male","M","Mar., 2021","2021/03",78,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Male","M","Apr., 2021","2021/04",71,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Male","M","May, 2021","2021/05",77,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Male","M","Jun., 2021","2021/06",83,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Male","M","Jul., 2021","2021/07",83,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Male","M","Aug., 2021","2021/08",84,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Male","M","Sep., 2021","2021/09",118,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Male","M","Oct., 2021","2021/10",111,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Male","M","Nov., 2021","2021/11",70,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the digestive system","K00-K92","Male","M","Dec., 2021","2021/12",85,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the skin and subcutaneous tissue","L00-L98","Male","M","Nov., 2021","2021/11",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","Jan., 2021","2021/01",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","Apr., 2021","2021/04",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","Jun., 2021","2021/06",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","Aug., 2021","2021/08",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","Sep., 2021","2021/09",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","Oct., 2021","2021/10",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","Dec., 2021","2021/12",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the musculoskeletal system and connective tissue","M00-M99","Male","M","Mar., 2021","2021/03",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the musculoskeletal system and connective tissue","M00-M99","Male","M","May, 2021","2021/05",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the musculoskeletal system and connective tissue","M00-M99","Male","M","Aug., 2021","2021/08",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the musculoskeletal system and connective tissue","M00-M99","Male","M","Oct., 2021","2021/10",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the musculoskeletal system and connective tissue","M00-M99","Male","M","Nov., 2021","2021/11",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Female","F","Jan., 2021","2021/01",50,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Female","F","Feb., 2021","2021/02",54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Female","F","Mar., 2021","2021/03",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Female","F","Apr., 2021","2021/04",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Female","F","May, 2021","2021/05",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Female","F","Jun., 2021","2021/06",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Female","F","Jul., 2021","2021/07",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Female","F","Aug., 2021","2021/08",81,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Female","F","Sep., 2021","2021/09",82,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Female","F","Oct., 2021","2021/10",63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Female","F","Nov., 2021","2021/11",54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Female","F","Dec., 2021","2021/12",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Male","M","Jan., 2021","2021/01",100,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Male","M","Feb., 2021","2021/02",66,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Male","M","Mar., 2021","2021/03",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Male","M","Apr., 2021","2021/04",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Male","M","May, 2021","2021/05",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Male","M","Jun., 2021","2021/06",63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Male","M","Jul., 2021","2021/07",68,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Male","M","Aug., 2021","2021/08",120,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Male","M","Sep., 2021","2021/09",176,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Male","M","Oct., 2021","2021/10",142,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Male","M","Nov., 2021","2021/11",65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the genitourinary system","N00-N99","Male","M","Dec., 2021","2021/12",72,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Jan., 2021","2021/01",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Feb., 2021","2021/02",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Mar., 2021","2021/03",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Jul., 2021","2021/07",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Aug., 2021","2021/08",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Sep., 2021","2021/09",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Oct., 2021","2021/10",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Nov., 2021","2021/11",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Dec., 2021","2021/12",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Male","M","Jan., 2021","2021/01",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Male","M","Feb., 2021","2021/02",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Male","M","Mar., 2021","2021/03",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Male","M","Apr., 2021","2021/04",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Male","M","May, 2021","2021/05",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Male","M","Jun., 2021","2021/06",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Male","M","Jul., 2021","2021/07",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Male","M","Aug., 2021","2021/08",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Male","M","Sep., 2021","2021/09",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Male","M","Oct., 2021","2021/10",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Male","M","Nov., 2021","2021/11",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pregnancy, childbirth and the puerperium","O00-O99","Male","M","Dec., 2021","2021/12",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Female","F","Jan., 2021","2021/01",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Female","F","Feb., 2021","2021/02",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Female","F","Mar., 2021","2021/03",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Female","F","May, 2021","2021/05",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Female","F","Jun., 2021","2021/06",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Female","F","Jul., 2021","2021/07",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Female","F","Sep., 2021","2021/09",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Female","F","Oct., 2021","2021/10",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Female","F","Nov., 2021","2021/11",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Male","M","Feb., 2021","2021/02",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Male","M","Mar., 2021","2021/03",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Male","M","Apr., 2021","2021/04",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Male","M","May, 2021","2021/05",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Male","M","Jun., 2021","2021/06",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Male","M","Jul., 2021","2021/07",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Male","M","Aug., 2021","2021/08",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Male","M","Sep., 2021","2021/09",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Male","M","Oct., 2021","2021/10",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain conditions originating in the perinatal period","P00-P96","Male","M","Nov., 2021","2021/11",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Female","F","Mar., 2021","2021/03",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Female","F","Aug., 2021","2021/08",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Female","F","Dec., 2021","2021/12",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","Jan., 2021","2021/01",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","Mar., 2021","2021/03",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","Jun., 2021","2021/06",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","Jul., 2021","2021/07",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","Oct., 2021","2021/10",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","Nov., 2021","2021/11",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","Dec., 2021","2021/12",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Jan., 2021","2021/01",83,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Feb., 2021","2021/02",76,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Mar., 2021","2021/03",68,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Apr., 2021","2021/04",63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","May, 2021","2021/05",65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Jun., 2021","2021/06",63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Jul., 2021","2021/07",57,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Aug., 2021","2021/08",128,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Sep., 2021","2021/09",125,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Oct., 2021","2021/10",91,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Nov., 2021","2021/11",75,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Dec., 2021","2021/12",90,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Jan., 2021","2021/01",126,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Feb., 2021","2021/02",90,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Mar., 2021","2021/03",108,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Apr., 2021","2021/04",90,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","May, 2021","2021/05",92,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Jun., 2021","2021/06",120,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Jul., 2021","2021/07",127,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Aug., 2021","2021/08",164,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Sep., 2021","2021/09",216,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Oct., 2021","2021/10",167,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Nov., 2021","2021/11",130,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Dec., 2021","2021/12",132,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Injury, poisoning and certain other consequences of external causes","S00-T98","Female","F","Jan., 2021","2021/01",220,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Injury, poisoning and certain other consequences of external causes","S00-T98","Female","F","Feb., 2021","2021/02",170,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Injury, poisoning and certain other consequences of external causes","S00-T98","Female","F","Mar., 2021","2021/03",238,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Injury, poisoning and certain other consequences of external causes","S00-T98","Female","F","Apr., 2021","2021/04",184,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Injury, poisoning and certain other consequences of external causes","S00-T98","Female","F","May, 2021","2021/05",225,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Injury, poisoning and certain other consequences of external causes","S00-T98","Female","F","Jun., 2021","2021/06",207,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Injury, poisoning and certain other consequences of external causes","S00-T98","Female","F","Jul., 2021","2021/07",202,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Injury, poisoning and certain other consequences of external causes","S00-T98","Female","F","Aug., 2021","2021/08",207,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Injury, poisoning and certain other consequences of external causes","S00-T98","Female","F","Sep., 2021","2021/09",201,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Injury, poisoning and certain other consequences of external causes","S00-T98","Female","F","Oct., 2021","2021/10",195,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Injury, poisoning and certain other consequences of external causes","S00-T98","Female","F","Nov., 2021","2021/11",163,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Injury, poisoning and certain other consequences of external causes","S00-T98","Female","F","Dec., 2021","2021/12",199,Not Applicable,Not Applicable,Not Applicable,Not Applicable
