"Notes","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Sep., 2023","2023/09",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2023","2023/10",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2023","2023/11",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2023","2023/12",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2024","2024/01",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2024","2024/02",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2024","2024/03",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2024","2024/04",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2024","2024/05",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2024","2024/06",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2024","2024/07",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2024","2024/08",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2024","2024/09",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2024","2024/10",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2024","2024/11",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2024","2024/12",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2025 (provisional)","2025/01",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2025 (provisional)","2025/02",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2025 (provisional)","2025/03",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2025 (provisional)","2025/04",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May., 2025 (provisional)","2025/05",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2025 (provisional)","2025/06",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2025 (provisional)","2025/07",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2025 (provisional)","2025/08",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2025 (provisional)","2025/09",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2025 (provisional)","2025/10",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2025 (provisional)","2025/11",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2025 (provisional)","2025/12",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2026 (provisional)","2026/01",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2026 (provisional and partial)","2026/02",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2026 (provisional and partial)","2026/03",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total",,,2414,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"MCD - ICD-10 Codes: U07.1 (COVID-19)"
"Residence States: Texas (48)"
"Sex: Female"
"Ten-Year Age Groups: 15-24 years; 25-34 years; 35-44 years"
"Group By: Month"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Mar 29, 2026 3:54:51 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2024,"
"and from provisional data for years 2025 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Mar 29, 2026"
"3:54:51 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Assurance of Confidentiality."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Not Stated."
"4. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Confidence-Intervals."
"5. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"6. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#ICD-10 Changes."
"7. Deaths occurring through March 14, 2026 as of March 22, 2026."
