"Notes","Year","Year Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"2018","2018","American Indian or Alaska Native","1002-5",0,18913,0.0,0.0,0.0
,"2018","2018","Asian","A",Suppressed,349407,Suppressed,Suppressed,Suppressed
,"2018","2018","Black or African American","2054-5",73,786516,9.3,7.3,11.7
,"2018","2018","Native Hawaiian or Other Pacific Islander","NHOPI",0,6134,0.0,0.0,0.0
,"2018","2018","White","2106-3",53,2173079,2.4,1.8,3.2
,"2019","2019","American Indian or Alaska Native","1002-5",0,19128,0.0,0.0,0.0
,"2019","2019","Asian","A",Suppressed,351622,Suppressed,Suppressed,Suppressed
,"2019","2019","Black or African American","2054-5",56,801117,7.0,5.3,9.1
,"2019","2019","Native Hawaiian or Other Pacific Islander","NHOPI",0,6391,0.0,0.0,0.0
,"2019","2019","White","2106-3",52,2180756,2.4,1.8,3.1
,"2020","2020","American Indian or Alaska Native","1002-5",0,19398,0.0,0.0,0.0
,"2020","2020","Asian","A",Suppressed,357701,Suppressed,Suppressed,Suppressed
,"2020","2020","Black or African American","2054-5",85,817043,10.4,8.3,12.9
,"2020","2020","Native Hawaiian or Other Pacific Islander","NHOPI",0,6564,0.0,0.0,0.0
,"2020","2020","White","2106-3",88,2191463,4.0,3.2,4.9
,"2021","2021","American Indian or Alaska Native","1002-5",0,19770,0.0,0.0,0.0
,"2021","2021","Asian","A",Suppressed,359846,Suppressed,Suppressed,Suppressed
,"2021","2021","Black or African American","2054-5",92,828177,11.1,9.0,13.6
,"2021","2021","Native Hawaiian or Other Pacific Islander","NHOPI",0,6659,0.0,0.0,0.0
,"2021","2021","White","2106-3",73,2184587,3.3,2.6,4.2
,"2022","2022","American Indian or Alaska Native","1002-5",Suppressed,20021,Suppressed,Suppressed,Suppressed
,"2022","2022","Asian","A",Suppressed,381621,Suppressed,Suppressed,Suppressed
,"2022","2022","Black or African American","2054-5",98,858512,11.4,9.3,13.9
,"2022","2022","Native Hawaiian or Other Pacific Islander","NHOPI",0,6977,0.0,0.0,0.0
,"2022","2022","White","2106-3",79,2199462,3.6,2.8,4.5
,"2023","2023","American Indian or Alaska Native","1002-5",Suppressed,20309,Suppressed,Suppressed,Suppressed
,"2023","2023","Asian","A",Suppressed,404138,Suppressed,Suppressed,Suppressed
,"2023","2023","Black or African American","2054-5",86,889109,9.7,7.7,11.9
,"2023","2023","Native Hawaiian or Other Pacific Islander","NHOPI",0,7329,0.0,0.0,0.0
,"2023","2023","White","2106-3",56,2228643,2.5,1.9,3.3
,"2024","2024","American Indian or Alaska Native","1002-5",0,20521,0.0,0.0,0.0
,"2024","2024","Asian","A",Suppressed,453048,Suppressed,Suppressed,Suppressed
,"2024","2024","Black or African American","2054-5",100,915076,10.9,8.8,13.1
,"2024","2024","Native Hawaiian or Other Pacific Islander","NHOPI",0,7499,0.0,0.0,0.0
,"2024","2024","White","2106-3",37,2230743,1.7,1.2,2.3
,"2025 (provisional)","2025","American Indian or Alaska Native","1002-5",Suppressed,20521,Suppressed,Suppressed,Suppressed
,"2025 (provisional)","2025","Asian","A",Suppressed,453048,Suppressed,Suppressed,Suppressed
,"2025 (provisional)","2025","Black or African American","2054-5",35,915076,3.8,2.7,5.3
,"2025 (provisional)","2025","Native Hawaiian or Other Pacific Islander","NHOPI",0,7499,0.0,0.0,0.0
,"2025 (provisional)","2025","White","2106-3",40,2230743,1.8,1.3,2.4
,"2026 (provisional and partial)","2026","American Indian or Alaska Native","1002-5",0,20521,0.0,0.0,0.0
,"2026 (provisional and partial)","2026","Asian","A",0,453048,0.0,0.0,0.0
,"2026 (provisional and partial)","2026","Black or African American","2054-5",0,915076,0.0,0.0,0.0
,"2026 (provisional and partial)","2026","Native Hawaiian or Other Pacific Islander","NHOPI",0,7499,0.0,0.0,0.0
,"2026 (provisional and partial)","2026","White","2106-3",0,2230743,0.0,0.0,0.0
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Hispanic Origin: Not Hispanic or Latino"
"MCD - ICD-10 Codes: X85-Y09 (Assault)"
"Residence States: Texas (48)"
"Sex: Female"
"Single Race 6: American Indian or Alaska Native; Asian; Black or African American; Native Hawaiian or Other Pacific Islander;"
