"Notes","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jan., 2018","2018/01",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2018","2018/03",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2018","2018/04",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2018","2018/05",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2018","2018/06",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2018","2018/08",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2018","2018/09",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2018","2018/10",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2018","2018/11",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2018","2018/12",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2019","2019/01",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2019","2019/02",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2019","2019/03",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2019","2019/04",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2019","2019/05",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2019","2019/06",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2019","2019/07",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2019","2019/08",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2019","2019/09",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2019","2019/10",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2019","2019/11",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2019","2019/12",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2020","2020/01",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2020","2020/02",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2020","2020/03",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2020","2020/04",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2020","2020/05",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2020","2020/06",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2020","2020/07",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2020","2020/08",49,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2020","2020/09",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2020","2020/10",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2020","2020/11",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2020","2020/12",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2021","2021/01",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2021","2021/02",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2021","2021/03",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2021","2021/04",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2021","2021/05",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2021","2021/06",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2021","2021/07",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2021","2021/08",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2021","2021/09",60,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2021","2021/10",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2021","2021/11",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2021","2021/12",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2022","2022/01",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2022","2022/02",53,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2022","2022/03",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2022","2022/04",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2022","2022/05",51,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2022","2022/06",50,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2022","2022/07",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2022","2022/08",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2022","2022/09",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2022","2022/10",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2022","2022/11",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2022","2022/12",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2023","2023/01",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2023","2023/02",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2023","2023/03",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2023","2023/04",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2023","2023/05",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2023","2023/06",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2023","2023/07",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2023","2023/08",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2023","2023/09",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2023","2023/10",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2023","2023/11",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2023","2023/12",47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2024","2024/01",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2024","2024/02",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2024","2024/03",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2024","2024/04",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2024","2024/05",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2024","2024/06",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2024","2024/07",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2024","2024/08",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2024","2024/09",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2024","2024/10",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2024","2024/11",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2024","2024/12",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2025 (provisional)","2025/01",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2025 (provisional)","2025/02",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2025 (provisional)","2025/03",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2025 (provisional)","2025/04",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May., 2025 (provisional)","2025/05",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2025 (provisional)","2025/06",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2025 (provisional)","2025/07",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2025 (provisional)","2025/08",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total",,,3177,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"MCD - ICD-10 Codes: X85-Y09 (Assault)"
"Residence States: Texas (48)"
"Sex: Female"
"Group By: Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Mar 10, 2026 3:06:04 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2024,"
"and from provisional data for years 2025 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Mar 10, 2026"
"3:06:04 AM"
"---"
Messages:
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above"
"to show zero rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Confidence-Intervals."
"3. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"4. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"5. Deaths occurring through February 21, 2026 as of March 01, 2026."
